start_date,end_date,event_name
2020-03-29 18:10:03 UTC,2020-03-29 18:10:18 UTC,A
2020-03-28 18:19:12 UTC,2020-03-28 18:19:27 UTC,A
2020-03-28 23:52:30 UTC,2020-03-28 23:52:45 UTC,A
2020-03-29 22:32:41 UTC,2020-03-29 22:32:56 UTC,A
2020-03-22 20:51:28 UTC,2020-03-22 20:51:43 UTC,A
2020-03-22 21:50:31 UTC,2020-03-22 21:50:46 UTC,A
2020-04-01 18:47:53 UTC,2020-04-01 18:48:08 UTC,A
2020-04-02 13:39:17 UTC,2020-04-02 13:39:32 UTC,A
2020-03-25 18:12:44 UTC,2020-03-25 18:12:59 UTC,A
2020-04-01 18:46:13 UTC,2020-04-01 18:46:28 UTC,A
2020-03-30 18:09:52 UTC,2020-03-30 18:10:07 UTC,A
2020-03-31 20:07:08 UTC,2020-03-31 20:07:23 UTC,A
2020-03-25 23:39:13 UTC,2020-03-25 23:39:28 UTC,A
2020-03-23 20:18:04 UTC,2020-03-23 20:18:19 UTC,A
2020-03-30 23:23:31 UTC,2020-03-30 23:23:46 UTC,A
2020-04-02 22:10:55 UTC,2020-04-02 22:11:10 UTC,A
2020-03-27 23:40:37 UTC,2020-03-27 23:40:52 UTC,A
2020-03-23 23:44:16 UTC,2020-03-23 23:44:31 UTC,A
2020-03-26 21:39:54 UTC,2020-03-26 21:40:09 UTC,A
2020-03-24 20:29:09 UTC,2020-03-24 20:29:24 UTC,A
2020-04-02 09:35:19 UTC,2020-04-02 09:35:34 UTC,B
2020-03-26 11:38:33 UTC,2020-03-26 11:38:48 UTC,B
2020-03-22 07:43:35 UTC,2020-03-22 07:43:50 UTC,B
2020-03-24 11:12:23 UTC,2020-03-24 11:12:38 UTC,B
2020-03-30 10:59:45 UTC,2020-03-30 11:00:00 UTC,B
2020-03-28 09:39:08 UTC,2020-03-28 09:39:23 UTC,B
2020-03-27 17:42:05 UTC,2020-03-27 17:42:20 UTC,B
2020-03-23 18:09:30 UTC,2020-03-23 18:09:45 UTC,B
2020-03-30 18:55:44 UTC,2020-03-30 18:55:59 UTC,B
2020-03-26 19:17:52 UTC,2020-03-26 19:18:07 UTC,B
2020-03-25 17:49:16 UTC,2020-03-25 17:49:31 UTC,B
2020-03-31 15:01:24 UTC,2020-03-31 15:01:39 UTC,B
2020-03-21 12:15:41 UTC,2020-03-21 12:15:56 UTC,B
2020-03-27 19:31:29 UTC,2020-03-27 19:31:44 UTC,B
2020-03-22 18:31:39 UTC,2020-03-22 18:31:54 UTC,B
2020-03-29 16:14:06 UTC,2020-03-29 16:14:21 UTC,B
2020-03-26 18:50:41 UTC,2020-03-26 18:50:56 UTC,B
2020-03-23 14:49:29 UTC,2020-03-23 14:49:44 UTC,B
2020-03-22 18:11:53 UTC,2020-03-22 18:12:08 UTC,B
2020-03-28 22:51:16 UTC,2020-03-28 22:51:31 UTC,B
2020-03-27 20:07:06 UTC,2020-03-27 20:07:21 UTC,B
2020-03-28 18:44:37 UTC,2020-03-28 18:44:52 UTC,B
2020-03-21 20:56:38 UTC,2020-03-21 20:56:53 UTC,B
2020-03-24 21:07:57 UTC,2020-03-24 21:08:12 UTC,B
2020-03-24 22:53:17 UTC,2020-03-24 22:53:32 UTC,B
2020-03-31 20:22:03 UTC,2020-03-31 20:22:18 UTC,B
2020-03-29 19:09:02 UTC,2020-03-29 19:09:17 UTC,B
2020-03-30 21:01:21 UTC,2020-03-30 21:01:36 UTC,B
2020-03-29 20:54:28 UTC,2020-03-29 20:54:43 UTC,B
2020-04-02 21:51:33 UTC,2020-04-02 21:51:48 UTC,B
2020-03-28 21:44:18 UTC,2020-03-28 21:44:33 UTC,B
2020-03-30 20:31:55 UTC,2020-03-30 20:32:10 UTC,B
2020-03-27 20:30:14 UTC,2020-03-27 20:30:29 UTC,B
2020-03-25 19:26:14 UTC,2020-03-25 19:26:29 UTC,B
2020-04-02 21:11:01 UTC,2020-04-02 21:11:16 UTC,B
2020-03-21 21:40:42 UTC,2020-03-21 21:40:57 UTC,B
2020-03-29 19:32:38 UTC,2020-03-29 19:32:53 UTC,B
2020-03-31 21:32:52 UTC,2020-03-31 21:33:07 UTC,B
2020-03-24 19:45:52 UTC,2020-03-24 19:46:07 UTC,B
2020-04-02 22:23:40 UTC,2020-04-02 22:23:55 UTC,B
2020-03-22 21:08:49 UTC,2020-03-22 21:09:04 UTC,B
2020-03-23 20:43:19 UTC,2020-03-23 20:43:34 UTC,B
2020-03-25 20:33:08 UTC,2020-03-25 20:33:23 UTC,B
2020-04-02 08:20:41 UTC,2020-04-02 08:20:56 UTC,C
2020-04-02 21:30:44 UTC,2020-04-02 21:30:59 UTC,C
2020-04-02 19:13:04 UTC,2020-04-02 19:13:19 UTC,C
2020-03-27 00:00:36 UTC,2020-03-27 00:00:51 UTC,D
2020-03-30 20:08:24 UTC,2020-03-30 20:08:39 UTC,D
2020-03-31 22:03:37 UTC,2020-03-31 22:03:52 UTC,D
2020-03-24 19:57:51 UTC,2020-03-24 19:58:06 UTC,D
2020-03-25 20:26:13 UTC,2020-03-25 20:26:28 UTC,D
2020-03-23 17:57:27 UTC,2020-03-23 17:57:42 UTC,D
2020-03-27 23:26:06 UTC,2020-03-27 23:26:21 UTC,D
2020-04-01 21:59:50 UTC,2020-04-01 22:00:05 UTC,E
2020-03-24 22:33:02 UTC,2020-03-24 22:33:17 UTC,E
2020-03-20 19:09:31 UTC,2020-03-20 19:09:46 UTC,E
2020-03-26 19:11:34 UTC,2020-03-26 19:11:49 UTC,E
2020-03-23 21:45:23 UTC,2020-03-23 21:45:38 UTC,F
2020-03-28 22:41:20 UTC,2020-03-28 22:41:35 UTC,F
2020-03-22 21:43:59 UTC,2020-03-22 21:44:14 UTC,F
2020-03-27 23:47:28 UTC,2020-03-27 23:47:43 UTC,F
2020-03-29 23:26:14 UTC,2020-03-29 23:26:29 UTC,F
2020-03-21 22:46:28 UTC,2020-03-21 22:46:43 UTC,F
2020-03-29 21:57:58 UTC,2020-03-29 21:58:13 UTC,F
2020-03-21 21:22:29 UTC,2020-03-21 21:22:44 UTC,F
2020-03-30 19:07:16 UTC,2020-03-30 19:07:31 UTC,F
2020-03-29 00:03:03 UTC,2020-03-29 00:03:18 UTC,F
2020-03-22 18:32:00 UTC,2020-03-22 18:32:15 UTC,F
2020-03-22 15:57:55 UTC,2020-03-22 15:58:10 UTC,G
2020-03-30 23:55:35 UTC,2020-03-30 23:55:50 UTC,G
2020-03-27 23:52:52 UTC,2020-03-27 23:53:07 UTC,G
2020-03-30 21:49:59 UTC,2020-03-30 21:50:14 UTC,G
2020-04-01 17:08:37 UTC,2020-04-01 17:08:52 UTC,G
2020-03-25 16:16:48 UTC,2020-03-25 16:17:03 UTC,G
2020-04-02 17:07:02 UTC,2020-04-02 17:07:17 UTC,G
2020-03-31 20:54:39 UTC,2020-03-31 20:54:54 UTC,G
2020-03-24 20:17:59 UTC,2020-03-24 20:18:14 UTC,G
2020-03-19 20:21:28 UTC,2020-03-19 20:21:43 UTC,G
2020-03-21 19:21:02 UTC,2020-03-21 19:21:17 UTC,G
2020-03-28 21:15:23 UTC,2020-03-28 21:15:38 UTC,G
2020-03-30 18:49:13 UTC,2020-03-30 18:49:28 UTC,AA
2020-03-22 20:05:47 UTC,2020-03-22 20:06:02 UTC,AA
2020-03-23 21:21:32 UTC,2020-03-23 21:21:47 UTC,AA
2020-03-25 18:55:38 UTC,2020-03-25 18:55:53 UTC,AA
2020-03-29 21:21:55 UTC,2020-03-29 21:22:10 UTC,AA
2020-03-22 20:51:45 UTC,2020-03-22 20:52:00 UTC,AA
2020-03-21 21:13:07 UTC,2020-03-21 21:13:22 UTC,AA
2020-03-29 22:05:06 UTC,2020-03-29 22:05:21 UTC,AA
2020-03-28 21:54:25 UTC,2020-03-28 21:54:40 UTC,AA
